N°,Site,Longitude,Latitude,Altitude,Ic,Classe_Ic
1,Tumbwe,27.39875802,-11.4793703,1356,1.03,Dur
2,Tumbwe,27.39861045,-11.47815133,1354,27.39,Dur
3,Tumbwe,27.39939522,-11.47675851,1354,1.54,Dur
4,Tumbwe,27.39998719,-11.47520542,1354,1.08,Dur
5,Tumbwe,27.40055754,-11.47422592,1353,1.36,Dur
6,Tumbwe,27.39946232,-11.47347662,1352,1.19,Dur
7,Tumbwe,27.39789671,-11.47268324,1353,1.47,Dur
8,Tumbwe,27.39616013,-11.47323445,1352,1.96,Dur
9,Tumbwe,27.39513683,-11.47333966,1352,0.72,Terne
10,Tumbwe,27.39444442,-11.47464961,1350,0.65,Terne
11,Tumbwe,27.39375011,-11.47580499,1348,1.03,Dur
12,Tumbwe,27.39372604,-11.47581763,1344,0.56,Terne
13,Tumbwe,27.39211641,-11.47875895,1339,1.12,Dur
14,Tumbwe,27.41268803,-11.47666867,1397,3.86,Dur
15,Tumbwe,27.39064046,-11.47224959,1345,1.19,Dur
16,Tumbwe,27.39071789,-11.47409546,1341,0.76,Mi-dur
17,Tumbwe,27.3909156,-11.47302131,1344,1.19,Dur
18,Tumbwe,27.39214688,-11.47174189,1349,1.78,Dur
19,Tumbwe,27.39377112,-11.47008334,1354,1.77,Dur
20,Tumbwe,27.39014926,-11.47088197,1347,45.19,Dur
21,Tumbwe,27.38936027,-11.47178689,1341,-0.79,Liquide
22,Tumbwe,27.38786625,-11.47507487,1335,1.38,Dur
23,Tumbwe,27.3870245,-11.47636921,1334,3.22,Dur
24,Tumbwe,27.38623465,-11.47538451,1331,1.35,Dur
25,Tumbwe,27.38622541,-11.47533026,1331,1.66,Dur
26,Tumbwe,27.38622541,-11.47533026,1331,1.03,Dur
27,Tumbwe,27.38346977,-11.47838156,1328,2.03,Dur
28,Tumbwe,27.38503506,-11.46972484,1334,0.77,Mi-dur
29,Tumbwe,27.38498932,-11.46979725,1334,1.05,Dur
30,Tumbwe,27.38827963,-11.47117015,1342,0.67,Terne
31,Tumbwe,27.39048283,-11.474624,1339.391,1.03,Dur
32,Tumbwe,27.39048268,-11.47462409,1339.389,27.39,Dur
33,Tumbwe,27.39047205,-11.47463218,1339.018,1.54,Dur
34,Tumbwe,27.39050107,-11.47466987,1338.472,1.08,Dur
35,Tumbwe,27.39051908,-11.47468562,1338.486,1.36,Dur
36,Tumbwe,27.39054184,-11.47470605,1338.365,1.19,Dur
37,Tumbwe,27.39056495,-11.47474201,1338.301,1.47,Dur
38,Tumbwe,27.39059609,-11.47477449,1338.4,1.96,Dur
39,Tumbwe,27.39062027,-11.4747919,1338.417,0.72,Terne
40,Tumbwe,27.39064785,-11.47481085,1338.513,0.65,Terne
41,Tumbwe,27.390672,-11.47482983,1338.47,1.03,Dur
42,Tumbwe,27.39069685,-11.47484922,1338.495,0.56,Terne
43,Tumbwe,27.39072026,-11.4748634,1338.34,1.12,Dur
44,Tumbwe,27.39074777,-11.47488096,1338.337,3.86,Dur
45,Tumbwe,27.39076032,-11.47489183,1338.818,1.19,Dur
46,Tumbwe,27.39078824,-11.47490991,1338.771,0.76,Mi-dur
47,Tumbwe,27.39081465,-11.47492987,1338.653,1.19,Dur
48,Tumbwe,27.39084047,-11.47494821,1338.491,1.78,Dur
49,Tumbwe,27.39086784,-11.47496751,1338.736,1.77,Dur
50,Tumbwe,27.39089259,-11.47498557,1338.674,45.19,Dur
51,Tumbwe,27.39091925,-11.47500305,1338.507,-0.79,Liquide
52,Tumbwe,27.39095858,-11.47502906,1338.522,1.38,Dur
53,Tumbwe,27.39098322,-11.47504892,1338.867,3.22,Dur
54,Tumbwe,27.39100829,-11.47506758,1338.884,1.35,Dur
55,Tumbwe,27.39104788,-11.47509526,1338.518,1.66,Dur
56,Tumbwe,27.3910746,-11.47511367,1338.585,1.03,Dur
57,Tumbwe,27.3911026,-11.47513086,1338.755,2.03,Dur
58,Tumbwe,27.39112769,-11.4751527,1338.915,0.77,Mi-dur
59,Tumbwe,27.39116685,-11.47517977,1338.585,1.05,Dur
60,Tumbwe,27.39119109,-11.47519707,1338.575,0.67,Terne
61,Tumbwe,27.39121785,-11.47521539,1338.597,1.03,Dur
62,Tumbwe,27.39124553,-11.47523456,1338.895,27.39,Dur
63,Tumbwe,27.39127217,-11.47525296,1338.806,1.54,Dur
64,Tumbwe,27.39129858,-11.47527305,1338.834,1.08,Dur
65,Tumbwe,27.39133819,-11.47530102,1338.653,1.36,Dur
66,Tumbwe,27.39136404,-11.47531795,1338.627,1.19,Dur
67,Tumbwe,27.39138934,-11.47533664,1338.7,1.47,Dur
68,Tumbwe,27.39141667,-11.47535519,1338.797,1.96,Dur
69,Tumbwe,27.39144435,-11.47537447,1338.836,0.72,Terne
70,Tumbwe,27.3914697,-11.47539329,1338.845,0.65,Terne
71,Tumbwe,27.39149592,-11.4754115,1338.935,1.03,Dur
72,Tumbwe,27.391522,-11.47543128,1339.158,0.56,Terne
73,Tumbwe,27.39154746,-11.47544921,1339.205,1.12,Dur
